	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
180	[2.3577349185943604, 1.7397456169128418]	[0, 1.2602543830871582]	[0.0, 0.9322676560839227]	1	2.0	1	0.46613382804196135
181	[1.6974060535430908, 1.7589612007141113]	[1.3025939464569092, 0]	[0.9084369035676332, 0.0]	1	2.0	1	0.4542184517838166
182	[1.6855535507202148, 1.7356071472167969]	[1.3144464492797852, 0]	[0.9011234305353355, 0.0]	1	2.0	1	0.45056171526766775
183	[1.6542261838912964, 1.723040223121643]	[1.3457738161087036, 0]	[0.8804404680936244, 0.0]	1	2.0	1	0.4402202340468122
184	[1.6249749660491943, 1.780747890472412]	[1.3750250339508057, 0]	[0.8593562239101971, 0.0]	1	2.0	1	0.42967811195509853
185	[1.5853527784347534, 1.8175220489501953]	[1.4146472215652466, 0]	[0.8280676816482213, 0.0]	1	2.0	1	0.41403384082411065
186	[1.7046533823013306, 1.09347403049469]	[0, 1.90652596950531]	[0.0, 0.17821066661245766]	1	2.0	1	0.08910533330622883
187	[2.3376035690307617, 1.6853282451629639]	[0, 1.3146717548370361]	[0.0, 0.9009816867077802]	1	2.0	1	0.4504908433538901
188	[1.68235445022583, 1.2367839813232422]	[0, 1.7632160186767578]	[0.0, 0.41750130883519887]	1	2.0	1	0.20875065441759943
189	[2.3484947681427, 1.7164963483810425]	[0, 1.2835036516189575]	[0.0, 0.9196256795187168]	1	2.0	1	0.4598128397593584
190	[1.575887680053711, 1.7462475299835205]	[1.424112319946289, 0]	[0.8201287400697765, 0.0]	1	2.0	1	0.41006437003488827
191	[1.6479966640472412, 1.6559029817581177]	[1.3520033359527588, 0]	[0.8760936514781292, 0.0]	1	2.0	1	0.4380468257390646
192	[1.9412810802459717, 1.742849588394165]	[0, 1.257150411605835]	[0.0, 0.9338736658109497]	1	2.0	1	0.46693683290547483
193	[1.5754601955413818, 1.6604442596435547]	[1.4245398044586182, 0]	[0.8197659544302383, 0.0]	1	2.0	1	0.4098829772151191
194	[1.0796003341674805, 1.7246854305267334]	[1.9203996658325195, 0]	[0.15286445513538638, 0.0]	1	2.0	1	0.07643222756769319
195	[2.014775276184082, 1.755099892616272]	[0, 1.244900107383728]	[0.0, 0.9400239374034385]	1	2.0	1	0.47001196870171924
196	[0.8170387148857117, 2.1899309158325195]	[2.1829612851142883, 0]	[-0.39939740207924856, 0.0]	1	2.0	1	-0.19969870103962428
